path,size_bytes,under_rollout_benchmark,referenced_by_tracked_doc,action,reason
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/clean/error_growth.png,576419,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/clean/example_rollouts.png,866398,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/clean/terminal_error_boxplots.png,122254,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/degraded_eval/diagnostic_plots/high_terminal_error_OU_seed200056.png,544792,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/degraded_eval/diagnostic_plots/high_terminal_error_OU_seed200059.png,566972,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/degraded_eval/diagnostic_plots/high_terminal_error_PRBS_seed46.png,577860,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/degraded_eval/diagnostic_plots/high_terminal_error_PRBS_seed62.png,591805,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/degraded_eval/diagnostic_plots/high_terminal_error_PRBS_seed68.png,581415,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/degraded_eval/diagnostic_plots/velocity_violation_OU_seed200061.png,542514,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/degraded_eval/error_growth.png,537279,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/degraded_eval/example_rollouts.png,932831,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_no_lift_seed42/rollout_benchmark/p12_matched_resampled_traj30_seed42_dr_20260413_125036/degraded_eval/terminal_error_boxplots.png,92441,1,0,purge,regenerable from the CSV/JSON beside it
