model_type,seed,epoch,train_total,test_total,train_so3_orth,train_success_rate
phnode_full,43,18,0.261367,0.217533,1.15408e-07,1
phnode_full,43,19,0.197484,0.660259,1.14e-07,1
phnode_full,43,20,37.3387,1.44337,3.7397e-05,1
phnode_full,43,21,1.1768,6.30517,1.68516e-06,1
phnode_full,43,22,144088,5.92989,7.46603,1
phnode_full,43,23,4.30978,1.54411,2.17633e-06,1
phnode_full,43,24,163.832,1.17789,0.0291691,1
phnode_full,43,25,0.704102,0.494584,7.54684e-07,1
phnode_full,43,26,0.807025,1.31445,2.54417e-07,1
phnode_full,43,27,0.62262,0.41436,1.54424e-06,1
phnode_full,43,28,0.291263,0.196239,1.29757e-07,1
phnode_full,43,29,0.684793,0.264521,1.15524e-07,1
phnode_full,43,30,0.504237,0.889748,1.15882e-07,1
phnode_full,43,31,0.660405,0.544768,1.16214e-07,1
phnode_full,43,32,0.515815,0.500896,1.18611e-07,1
phnode_full,43,33,0.269015,0.372283,1.13679e-07,1
phnode_full,43,34,0.297756,0.18285,1.13644e-07,1
phnode_full,43,35,0.210562,0.250947,1.13697e-07,1
phnode_full,43,36,0.286399,0.451489,1.14008e-07,1
phnode_full,43,37,0.398632,0.216092,1.1427e-07,1
phnode_full,43,38,0.159969,0.138011,1.13885e-07,1
phnode_full,43,39,0.165074,0.250462,1.14114e-07,1
phnode_full,43,40,0.234141,0.258301,1.14513e-07,1
phnode_full,43,41,0.206213,0.180404,1.14559e-07,1
phnode_full,43,42,0.143846,0.16995,1.14266e-07,1
phnode_full,43,43,0.143093,0.113978,1.14524e-07,1
phnode_full,43,44,0.228662,0.456227,1.14444e-07,1
phnode_full,43,45,0.238012,0.128696,1.14279e-07,1
phnode_full,43,46,0.258269,0.175888,1.14067e-07,1
phnode_full,43,47,0.155327,0.115435,1.14122e-07,1
phnode_full,43,48,0.219717,0.227272,1.14845e-07,1
phnode_full,43,49,0.172578,0.125763,1.14769e-07,1
phnode_full,43,50,0.129466,0.150887,1.14846e-07,1
phnode_full,43,51,0.0995654,0.0833153,1.15319e-07,1
phnode_full,43,52,0.178767,0.131307,1.15764e-07,1
phnode_full,43,53,0.096014,0.0988216,1.14803e-07,1
phnode_full,43,54,0.146744,0.112184,1.15738e-07,1
phnode_full,43,55,0.114113,0.118201,1.15153e-07,1
phnode_full,43,56,0.110407,0.153961,1.15398e-07,1
phnode_full,43,57,0.0951246,0.123924,1.15736e-07,1
phnode_full,43,58,0.0946781,0.0740414,1.15932e-07,1
phnode_full,43,59,0.0878358,0.0897287,1.15617e-07,1
phnode_full,43,60,0.0808846,0.0629533,1.15944e-07,1
phnode_full,43,61,0.0953342,0.128055,1.16085e-07,1
phnode_full,43,62,0.082588,0.116225,1.15924e-07,1
phnode_full,43,63,0.0786823,0.0708842,1.16395e-07,1
phnode_full,43,64,0.0827911,0.0744214,1.16136e-07,1
phnode_full,43,65,0.0692766,0.0694704,1.15735e-07,1
phnode_full,43,66,0.0713376,0.073593,1.1618e-07,1
phnode_full,43,67,0.0563598,0.142115,1.15946e-07,1
phnode_full,43,68,0.0765855,0.0542087,1.16288e-07,1
phnode_full,43,69,0.0472628,0.0602919,1.15898e-07,1
phnode_full,43,70,0.0633629,0.0929702,1.16182e-07,1
phnode_full,43,71,0.0542672,0.0427807,1.15867e-07,1
phnode_full,43,72,0.0454993,0.452303,1.15443e-07,1
phnode_full,43,73,0.322716,0.189833,1.16436e-07,1
phnode_full,43,74,0.111439,0.0533334,1.15046e-07,1
phnode_full,43,75,0.0624972,0.0798154,1.1578e-07,1
phnode_full,43,76,0.047211,0.121951,1.15527e-07,1
phnode_full,43,77,0.0589936,0.0420887,1.15945e-07,1
phnode_full,43,78,0.0587945,0.0519438,1.15811e-07,1
phnode_full,43,79,0.049915,0.0721724,1.15672e-07,1
phnode_full,43,80,0.0569558,0.0533926,1.16125e-07,1
phnode_full,43,81,0.0770053,0.0566039,1.15898e-07,1
phnode_full,43,82,0.0661308,0.0356864,1.15715e-07,1
phnode_full,43,83,0.0389396,0.0279539,1.16039e-07,1
phnode_full,43,84,0.0303784,0.0363367,1.16293e-07,1
phnode_full,43,85,0.0405304,0.0348762,1.16332e-07,1
phnode_full,43,86,0.027398,0.0254463,1.16006e-07,1
phnode_full,43,87,0.0213363,0.0200451,1.16289e-07,1
phnode_full,43,88,0.0202752,0.0378733,1.16335e-07,1
phnode_full,43,89,0.0348823,0.0257099,1.16283e-07,1
phnode_full,43,90,0.0260835,0.022911,1.16456e-07,1
phnode_full,43,91,0.0221425,0.0211876,1.16477e-07,1
phnode_full,43,92,0.0190376,0.0234448,1.16391e-07,1
phnode_full,43,93,0.0275418,0.0175799,1.16333e-07,1
phnode_full,43,94,0.0179194,0.0293295,1.16333e-07,1
phnode_full,43,95,0.0216111,0.0476765,1.16348e-07,1
phnode_full,43,96,0.0247266,0.030044,1.16293e-07,1
phnode_full,43,97,0.0277502,0.0364265,1.16213e-07,1
phnode_full,43,98,0.0237991,0.0138487,1.1632e-07,1
phnode_full,43,99,0.0153527,0.0174214,1.16708e-07,1
phnode_full,43,100,0.0168954,0.0191579,1.1654e-07,1
phnode_full,43,101,0.0273864,0.0260188,1.16311e-07,1
phnode_full,43,102,0.0148248,0.011858,1.16207e-07,1
phnode_full,43,103,0.0108624,0.0136211,1.16494e-07,1
phnode_full,43,104,0.0101827,0.0108351,1.16586e-07,1
phnode_full,43,105,0.00959807,0.00977471,1.16598e-07,1
phnode_full,43,106,0.00928006,0.0114153,1.1648e-07,1
phnode_full,43,107,0.00959197,0.0236471,1.16629e-07,1
phnode_full,43,108,0.0174127,0.0144337,1.16534e-07,1
phnode_full,43,109,0.0189447,0.0259738,1.1634e-07,1
phnode_full,43,110,0.0164351,0.0133484,1.16367e-07,1
phnode_full,43,111,0.0145399,0.0104008,1.16588e-07,1
phnode_full,43,112,0.0134143,0.0141534,1.167e-07,1
phnode_full,43,113,0.0114365,0.0148388,1.16647e-07,1
phnode_full,43,114,0.012761,0.0161844,1.16632e-07,1
phnode_full,43,115,0.0110543,0.00885583,1.1644e-07,1
phnode_full,43,116,0.0118661,0.0113856,1.16637e-07,1
phnode_full,43,117,0.0107442,0.0109569,1.16558e-07,1
phnode_full,43,118,0.00908065,0.00956864,1.16558e-07,1
phnode_full,43,119,0.0147498,0.0103048,1.16627e-07,1
phnode_full,43,120,0.0111905,0.00787152,1.1643e-07,1
phnode_full,43,121,0.00788154,0.00775282,1.16643e-07,1
phnode_full,43,122,0.00773653,0.00838391,1.16656e-07,1
phnode_full,43,123,0.00759478,0.0103315,1.16741e-07,1
phnode_full,43,124,0.0217154,0.0126764,1.16694e-07,1
phnode_full,43,125,0.0122184,0.00845195,1.163e-07,1
phnode_full,43,126,0.00764206,0.00833159,1.16571e-07,1
phnode_full,43,127,0.00712754,0.00820227,1.16423e-07,1
phnode_full,43,128,0.00688391,0.00820941,1.16599e-07,1
phnode_full,43,129,0.00891725,0.00628938,1.16688e-07,1
phnode_full,43,130,0.00859469,0.00848169,1.16553e-07,1
phnode_full,43,131,0.00941872,0.00927117,1.16543e-07,1
phnode_full,43,132,0.00915603,0.0123643,1.16501e-07,1
phnode_full,43,133,0.0171283,0.0153072,1.16543e-07,1
phnode_full,43,134,0.00938682,0.00624671,1.16259e-07,1
phnode_full,43,135,0.0103205,0.00940064,1.16622e-07,1
phnode_full,43,136,0.00775291,0.00791471,1.1661e-07,1
phnode_full,43,137,0.00642304,0.00722339,1.16726e-07,1
phnode_full,43,138,0.00609407,0.00673793,1.16645e-07,1
phnode_full,43,139,0.00595459,0.00663745,1.16652e-07,1
phnode_full,43,140,0.00589489,0.00663022,1.16635e-07,1
phnode_full,43,141,0.00586203,0.00603784,1.16692e-07,1
phnode_full,43,142,0.00669008,0.00642223,1.16864e-07,1
phnode_full,43,143,0.0110939,0.0102303,1.16375e-07,1
phnode_full,43,144,0.00998688,0.00626933,1.16548e-07,1
phnode_full,43,145,0.00998636,0.00658798,1.16339e-07,1
phnode_full,43,146,0.00699178,0.00725504,1.1678e-07,1
phnode_full,43,147,0.0059089,0.00714546,1.16771e-07,1
phnode_full,43,148,0.00589785,0.00592937,1.16835e-07,1
phnode_full,43,149,0.00604083,0.0172039,1.16745e-07,1
phnode_full,43,150,0.0085803,0.0126733,1.16661e-07,1
phnode_full,43,151,0.0081132,0.00816361,1.16675e-07,1
phnode_full,43,152,0.00694972,0.0057565,1.16802e-07,1
phnode_full,43,153,0.00654832,0.0101975,1.16814e-07,1
phnode_full,43,154,0.00642515,0.00691829,1.16762e-07,1
phnode_full,43,155,0.00634091,0.00576972,1.16748e-07,1
phnode_full,43,156,0.00621607,0.00863705,1.16803e-07,1
phnode_full,43,157,0.00611383,0.00678888,1.16807e-07,1
phnode_full,43,158,0.0060946,0.0062227,1.16783e-07,1
phnode_full,43,159,0.00588487,0.00774412,1.16894e-07,1
phnode_full,43,160,0.00592988,0.00607138,1.16674e-07,1
phnode_full,43,161,0.00579961,0.00510752,1.16939e-07,1
phnode_full,43,162,0.00643048,0.00751703,1.16924e-07,1
phnode_full,43,163,0.00563422,0.00747034,1.16878e-07,1
phnode_full,43,164,0.00592714,0.00577213,1.16916e-07,1
phnode_full,43,165,0.00551035,0.00957725,1.16774e-07,1
phnode_full,43,166,0.00706739,0.00633186,1.1689e-07,1
phnode_full,43,167,0.00663814,0.00882426,1.16733e-07,1
phnode_full,43,168,0.00627022,0.00702376,1.16807e-07,1
phnode_full,43,169,0.0054666,0.00538901,1.16781e-07,1
phnode_full,43,170,0.00515537,0.00535065,1.16858e-07,1
phnode_full,43,171,0.0048517,0.00506487,1.16942e-07,1
phnode_full,43,172,0.00464303,0.00504587,1.16877e-07,1
phnode_full,43,173,0.00454852,0.004636,1.16966e-07,1
phnode_full,43,174,0.00451605,0.00475617,1.16927e-07,1
phnode_full,43,175,0.00453875,0.00496021,1.1688e-07,1
phnode_full,43,176,0.00446893,0.00464378,1.16987e-07,1
phnode_full,43,177,0.00446617,0.0046257,1.16892e-07,1
phnode_full,43,178,0.00449676,0.00453386,1.1689e-07,1
phnode_full,43,179,0.00452712,0.00465538,1.17041e-07,1
phnode_full,43,180,0.00457017,0.00477437,1.16902e-07,1
phnode_full,43,181,0.00437195,0.00446118,1.16802e-07,1
phnode_full,43,182,0.00429296,0.00450786,1.1683e-07,1
phnode_full,43,183,0.00428975,0.0044812,1.16991e-07,1
phnode_full,43,184,0.00426549,0.00442999,1.16951e-07,1
phnode_full,43,185,0.00442133,0.0051849,1.16953e-07,1
phnode_full,43,186,0.00541771,0.00554709,1.1677e-07,1
phnode_full,43,187,0.0049698,0.00460631,1.17068e-07,1
phnode_full,43,188,0.00477481,0.00509589,1.1697e-07,1
phnode_full,43,189,0.00459403,0.00483868,1.17044e-07,1
